,ID,Title,Acceptance,Difficulty,Frequency,Link
0,1130,Minimum Cost Tree From Leaf Values,66.1%,Medium,1.583844915245196, https://leetcode.com/problems/minimum-cost-tree-from-leaf-values
1,255,Verify Preorder Sequence in Binary Search Tree,45.7%,Medium,1.0184692951799177, https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
2,1163,Last Substring in Lexicographical Order,33.9%,Hard,0.9532793012434956, https://leetcode.com/problems/last-substring-in-lexicographical-order
3,317,Shortest Distance from All Buildings,41.4%,Hard,0.3879036811782171, https://leetcode.com/problems/shortest-distance-from-all-buildings
4,25,Reverse Nodes in k-Group,42.1%,Hard,0.2284157463636081, https://leetcode.com/problems/reverse-nodes-in-k-group
5,500,Keyboard Row,64.7%,Easy,0.1929036661244915, https://leetcode.com/problems/keyboard-row
6,526,Beautiful Arrangement,57.8%,Medium,0.1735109271117997, https://leetcode.com/problems/beautiful-arrangement
7,206,Reverse Linked List,62.5%,Easy,0.1237841890166319, https://leetcode.com/problems/reverse-linked-list
8,741,Cherry Pickup,33.9%,Hard,0.1229376862450479, https://leetcode.com/problems/cherry-pickup
9,259,3Sum Smaller,47.6%,Medium,0.1081485037772375, https://leetcode.com/problems/3sum-smaller
10,697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array
11,115,Distinct Subsequences,38.3%,Hard,0.0614947816078062, https://leetcode.com/problems/distinct-subsequences
12,1319,Number of Operations to Make Network Connected,53.1%,Medium,0.0458796057506936, https://leetcode.com/problems/number-of-operations-to-make-network-connected
13,232,Implement Queue using Stacks,49.6%,Easy,0.0442305372273395, https://leetcode.com/problems/implement-queue-using-stacks
14,63,Unique Paths II,34.6%,Medium,0.0344045972994037, https://leetcode.com/problems/unique-paths-ii
15,62,Unique Paths,54.1%,Medium,0.0285374918611558, https://leetcode.com/problems/unique-paths
16,338,Counting Bits,69.5%,Medium,0.0243255237674409, https://leetcode.com/problems/counting-bits
17,49,Group Anagrams,56.9%,Medium,0.0235415768218774, https://leetcode.com/problems/group-anagrams
18,225,Implement Stack using Queues,45.1%,Easy,0.0164409786334575, https://leetcode.com/problems/implement-stack-using-queues
19,647,Palindromic Substrings,60.6%,Medium,0.010400509768078, https://leetcode.com/problems/palindromic-substrings
20,15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
21,200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
22,20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
23,1,Two Sum,45.6%,Easy,0.0018454351235873, https://leetcode.com/problems/two-sum
36,199,Binary Tree Right Side View,54.1%,Medium,0.0674815433694624, https://leetcode.com/problems/binary-tree-right-side-view
38,319,Bulb Switcher,45.4%,Medium,0.0659579677917974, https://leetcode.com/problems/bulb-switcher
45,836,Rectangle Overlap,48.6%,Easy,0.0242289259743798, https://leetcode.com/problems/rectangle-overlap
47,314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0180103922744653, https://leetcode.com/problems/binary-tree-vertical-order-traversal
48,404,Sum of Left Leaves,50.9%,Easy,0.0139813532303405, https://leetcode.com/problems/sum-of-left-leaves
49,695,Max Area of Island,62.7%,Medium,0.0126865006310038, https://leetcode.com/problems/max-area-of-island
51,43,Multiply Strings,33.9%,Medium,0.0091450111500627, https://leetcode.com/problems/multiply-strings
52,133,Clone Graph,34.8%,Medium,0.0081367413930617, https://leetcode.com/problems/clone-graph
53,509,Fibonacci Number,67.2%,Easy,0.0071136704038555, https://leetcode.com/problems/fibonacci-number
56,23,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists
57,2,Add Two Numbers,33.9%,Medium,0.0037953910529002, https://leetcode.com/problems/add-two-numbers
58,102,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal
60,98,Validate Binary Search Tree,27.8%,Medium,0.0029437760440133, https://leetcode.com/problems/validate-binary-search-tree
61,106,Construct Binary Tree from Inorder and Postorder Traversal,47.2%,Medium,0.0023404141512175, https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
62,5,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring
112,566,Reshape the Matrix,60.5%,Easy,0.0, https://leetcode.com/problems/reshape-the-matrix
